stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,_ingested_at
8210CO11092,11092,Carraig Abhainn,,52.825857,-6.937188,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11093,110931,Bourlum Wood,,52.823409,-6.935764,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11094,110941,SETU Green Road,,52.825497,-6.934096,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11095,110951,New Street,,52.829729,-6.93095,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11096,110961,Hanover Road,,52.831403,-6.929143,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11098,110981,Fire Station,,52.83703,-6.92286,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11099,110991,Green Lane,,52.841239,-6.917605,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11100,111001,Deerpark Rnbt,,52.845026,-6.910029,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11101,111011,Enterprise B Pk,,52.840432,-6.909015,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11102,201041,Sandhills,,52.839602,-6.904687,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11103,201051,Burrindale,,52.841719,-6.902289,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11104,111041,Beechwood Park,,52.844729,-6.899318,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11105,201061,Tinteán Coille,,52.846753,-6.895674,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11106,201111,MSD Carlow,,52.854254,-6.884615,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11108,111231,Tinteán Coille,,52.846705,-6.895259,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11109,111091,Beechwood Park,,52.844924,-6.898986,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11110,111101,Burrindale,,52.84195,-6.902001,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11111,111241,Sandhills,,52.839411,-6.907423,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11112,111121,Enterprise B Pk,,52.840884,-6.909271,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11113,111131,Deerpark Rnbt,,52.844784,-6.910183,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11114,111141,Green Lane,,52.84178,-6.916849,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11115,111151,Fire Station,,52.83698,-6.922727,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11117,111171,Hanover Road,,52.831857,-6.928657,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11118,111181,New Street,,52.829034,-6.931546,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11119,111191,SETU Green Road,,52.825738,-6.933882,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11120,111201,Bourlum Wood,,52.823008,-6.9361,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11121,111211,Carraig Abhainn,,52.825967,-6.937364,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11122,111221,Rath Abhainn,,52.822572,-6.941705,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11123,201011,Carlow Inst,,52.819176383642,-6.94491773727636,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11125,111251,Sleaty Road,,52.844,-6.939655,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11126,111261,Sleaty Street,,52.840491,-6.938241,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11127,113911,Maryborough Street,,52.837085,-6.938369,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11128,111281,Carlow Cstl,,52.836621,-6.935753,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11129,111291,Kennedy Avenue,,52.835658,-6.931546,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11132,111321,Pollerton Road,,52.836836,-6.918723,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11133,111331,St Patrick's Avenue,,52.837255,-6.914409,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11134,111341,Castlewood Gdns,,52.838683,-6.91136,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11135,113921,Askea,,52.835379,-6.91079,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11138,113951,Tullow Road,,52.831465,-6.907311,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11139,111391,The Orchards,,52.8299889505304,-6.90325209027016,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11140,113961,Chapelstown,,52.82797,-6.899742,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11143,111431,Chapelstown,,52.827806,-6.899493,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11145,112031,Tullow Road,,52.831191,-6.906873,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11146,113931,Ashgrove,,52.830639,-6.912407,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11147,113941,Mount Leinster Park,,52.833066,-6.9134,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11148,111461,Askea,,52.835257,-6.911193,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11149,111601,Castlewood Gdns,,52.838257,-6.911979,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11151,113131,Pollerton Road,,52.836699,-6.919424,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11154,111821,Kennedy Avenue,,52.835423,-6.931463,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11155,111861,Carlow Cstl,,52.836651,-6.936064,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11156,111871,Maryborough Street,,52.837867,-6.938305,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11157,111881,Sleaty Street,,52.839859,-6.938004,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11159,202001,Barrow Valley,,52.84543,-6.94105,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11444,111421,The Orchards,,52.830137,-6.903679,,,,,2026-06-26T14:46:10.260735+00:00
8210IR0001,0,Muine Bheag (Bagenalstown),,52.69918,-6.952653,,,,,2026-06-26T14:46:10.260735+00:00
8210IR0002,0,Carlow,,52.840788,-6.922622,,,,,2026-06-26T14:46:10.260735+00:00
8210LL10441,14527,Bagenalstown North,,52.703237,-6.955709,,,,,2026-06-26T14:46:10.260735+00:00
8210LL10452,14518,Bagenalstown North,,52.70332,-6.95592,,,,,2026-06-26T14:46:10.260735+00:00
8210PB000008,351811,Royal Oak,,52.7024,-6.98482,,,,,2026-06-26T14:46:10.260735+00:00
822008203,8203,Visitor Centre,,53.36469,-6.33167,,,,,2026-06-26T14:46:10.260735+00:00
822008204,8204,Áras an Uachtaráin,,53.35938,-6.32384,,,,,2026-06-26T14:46:10.260735+00:00
822008205,8205,Dublin Zoo,,53.35173,-6.30548,,,,,2026-06-26T14:46:10.260735+00:00
822008206,8206,Park Gates,,53.34884,-6.29777,,,,,2026-06-26T14:46:10.260735+00:00
822008208,8208,Park Gates,,53.348995,-6.298737,,,,,2026-06-26T14:46:10.260735+00:00
822008209,8209,Dublin Zoo,,53.35169,-6.3057,,,,,2026-06-26T14:46:10.260735+00:00
822008210,8210,Áras an Uachtaráin,,53.358951,-6.32316,,,,,2026-06-26T14:46:10.260735+00:00
82202B008257,8257,St Kevin's College,,53.385027,-6.278198,,,,,2026-06-26T14:46:10.260735+00:00
8220B008367,8367,Broombridge,,53.372326,-6.299488,,,,,2026-06-26T14:46:10.260735+00:00
8220B1000401,100041,Clare Street,,53.341434,-6.251562,,,,,2026-06-26T14:46:10.260735+00:00
8220B100461,100461,Merrion Road,,53.3283555138789,-6.22837542799152,,,,,2026-06-26T14:46:10.260735+00:00
8220B1009001,100901,North Road,,53.4001982314926,-6.30834665852557,,,,,2026-06-26T14:46:10.260735+00:00
8220B1011301,101131,North Road,,53.40014650036,-6.30786746825518,,,,,2026-06-26T14:46:10.260735+00:00
8220B1011501,101151,Glasnevin,,53.369942933041,-6.27806175078419,,,,,2026-06-26T14:46:10.260735+00:00
8220B1021101,102111,Bachelors Walk,,53.346833,-6.262471,,,,,2026-06-26T14:46:10.260735+00:00
8220B1046101,104611,Merrion Row,,53.3385331896343,-6.25480444135106,,,,,2026-06-26T14:46:10.260735+00:00
8220B106421,106421,3Arena,,53.346899,-6.229431,,,,,2026-06-26T14:46:10.260735+00:00
8220B10995,10995,Heuston Station,,53.34587,-6.29366,,,,,2026-06-26T14:46:10.260735+00:00
8220B111761,111761,Westland Row Church,,53.342626,-6.250132,,,,,2026-06-26T14:46:10.260735+00:00
8220B111771,111771,Irish Life,,53.349115,-6.255619,,,,,2026-06-26T14:46:10.260735+00:00
8220B134961,134961,Dublin Busáras,,53.349913,-6.252387,,,,,2026-06-26T14:46:10.260735+00:00
8220B135001,135001,Dublin Busáras,,53.34981,-6.25203,,,,,2026-06-26T14:46:10.260735+00:00
8220B1350301,135031,Beresford Place,,53.3487549295197,-6.25495768638166,,,,,2026-06-26T14:46:10.260735+00:00
8220B1351001,135101,Wellington Quay,,53.3458641751298,-6.26381729294171,,,,,2026-06-26T14:46:10.260735+00:00
8220B1351201,135121,Connolly Station,,53.350218,-6.250527,,,,,2026-06-26T14:46:10.260735+00:00
8220B1351401,135141,George's Quay,,53.34737,-6.25346,,,,,2026-06-26T14:46:10.260735+00:00
8220B1352701,135271,Custom Hse Quay,,53.348359,-6.253712,,,,,2026-06-26T14:46:10.260735+00:00
8220B1353101,135311,Wilton Terrace,,53.333451,-6.249021,,,,,2026-06-26T14:46:10.260735+00:00
8220B1353301,135331,Dawson Street,,53.340134371715,-6.25858361137312,,,,,2026-06-26T14:46:10.260735+00:00
8220B1353501,135351,Eden Quay,,53.3478,-6.258496,,,,,2026-06-26T14:46:10.260735+00:00
8220B1354001,135401,Heuston Station,,53.346033,-6.292647,,,,,2026-06-26T14:46:10.260735+00:00
8220B135411,135411,Wilton Terrace,,53.333421,-6.249085,,,,,2026-06-26T14:46:10.260735+00:00
8220B1354201,135421,Heuston Station,,53.34622,-6.29257,,,,,2026-06-26T14:46:10.260735+00:00
8220B211521,211521,Merrion Sq West,,53.3409101463996,-6.25078764576979,,,,,2026-06-26T14:46:10.260735+00:00
8220B3551501,355151,Vincent's Hospital,,53.317358,-6.215983,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000002,2,Parnell Square West,,53.3522443611383,-6.26372321891887,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000003,3,Parnell Sq West,,53.352309,-6.263811,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000005,5,Parnell Square West,,53.3525736395204,-6.26411543286632,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000007,7,Parnell Sq West,,53.352841,-6.26457,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000008,8,Parnell Sq West,,53.353272,-6.265184,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000010,10,Parnell Square West,,53.3533921036473,-6.26538912389954,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000011,11,St Joseph's Parade,,53.3568152335295,-6.26467919507526,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000012,12,Dorset Street Upr,,53.357107,-6.264382,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000014,14,Eccles Place,,53.358531,-6.262777,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000015,15,Dorset Street Lwr,,53.360267,-6.260978,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000016,16,John Paul Park,,53.36644,-6.30565,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000017,17,Drumcondra Stn,,53.363078,-6.258399,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000018,18,Archbishop's House,,53.365856,-6.255957,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000019,19,Botanic Ave,,53.367235,-6.2556,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000021,21,Drumcondra Village,,53.370101,-6.254311,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000022,22,Home Farm Road,,53.3735036097406,-6.25280375269006,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000023,23,Ferguson Road,,53.3742282800791,-6.256261004167,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000024,24,Walsh Road,,53.3751331588841,-6.26037234812319,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000025,25,Rathlin Road,,53.3758994661474,-6.26361773641709,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000027,27,Ballymun Road,,53.3794389600107,-6.26658526126003,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000028,28,Hampstead Avenue,,53.381578637628,-6.26600227077738,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000029,29,Albert College Park,,53.3834882529457,-6.26566910125417,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000030,30,Ventry Park,,53.370331900193,-6.30460116922913,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000031,31,St Pappin's Road,,53.3860332259144,-6.268858077275,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000032,32,Stormanstown Road,,53.3861955680738,-6.2713772010414,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000033,33,Glasnevin Drive,,53.3887179243058,-6.27177114122451,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000035,35,Dean Swift Road,,53.3862067871013,-6.270910692541,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000036,36,Maolbuille Road,,53.386126850411,-6.26787706978339,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000037,37,DCU Ballymun Road,,53.385346401194,-6.26488698131794,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000038,38,Hampstead Avenue,,53.3822365941636,-6.26550952120506,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000039,39,The Rise,,53.3804141869323,-6.26565875906589,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000040,40,Stella Avenue,,53.3766607654507,-6.26466896852794,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000041,41,Home Farm Road,,53.3755592683258,-6.26185800624669,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000042,42,Corpus Christi NS,,53.3746502734575,-6.25746118972134,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000043,43,Achill Road,,53.3738612202267,-6.25390131043392,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000044,44,Home Farm Rd East,,53.373017,-6.252132,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000045,45,Drumcondra Village,,53.369936,-6.254107,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000046,46,Botanic Ave,,53.367131,-6.255259,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000047,47,Archbishop's House,,53.363916,-6.257298,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000048,48,Drumcondra Stn,,53.362257,-6.258808,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000049,49,Dorset Street Lwr,,53.360004,-6.260853,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000051,51,Eccles Place,,53.35781,-6.263272,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000052,52,Dorset Street Upr,,53.356661,-6.264565,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000053,53,Synnott Row,,53.359943,-6.262817,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000054,54,The Mater Hospital,,53.360222,-6.265908,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000055,55,Mountjoy Prison,,53.360412,-6.26847,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000056,56,Phibsborough Church,,53.36076,-6.276374,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000057,57,Dalymount,,53.36076,-6.2766,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000058,58,Phibsborough Luas,,53.360946,-6.281204,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000059,59,Cabra Road,,53.361018,-6.284943,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000060,60,Quarry Road,,53.361279,-6.289364,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000063,63,Fassaugh Avenue,,53.366792,-6.29275,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000064,64,Cabra West Ch,,53.367089,-6.295233,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000065,65,Dingle Road,,53.367255,-6.298051,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000066,66,Killala Road,,53.367275,-6.30074,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000068,68,Ventry Drive,,53.369078,-6.304245,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000069,69,Carnlough Road,,53.37137,-6.30327,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000071,71,Ventry Park,,53.370258,-6.304439,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000072,72,Ventry Drive,,53.36897,-6.304265,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000073,73,Killala Road,,53.367392,-6.300721,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000074,74,Cabra West Ch,,53.3672,-6.295499,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000075,75,Fionnbarra GAA,,53.366547,-6.291317,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000077,77,Quarry Road,,53.361309,-6.289574,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000078,78,Cabra Road,,53.361149,-6.284066,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000079,79,Phibsborough Luas,,53.361021,-6.280796,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000080,80,Phibsborough Church,,53.360863,-6.276054,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000081,81,Phibsborough,,53.360876,-6.271967,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000082,82,Doyle's Corner,,53.360798,-6.271549,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000083,83,The Mater Hospital,,53.36029,-6.26529,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000084,84,Synnott Row,,53.360163,-6.263702,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000085,85,Home Farm Rd East,,53.373958,-6.251913,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000087,87,Clare Road,,53.3767517255719,-6.2548802899246,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000088,88,Walnut Rise,,53.3772872552991,-6.2576992286456,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000090,90,Albert College Ct,,53.3863855316738,-6.26526567275522,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000091,91,Ballymun Road NS,,53.3884278896483,-6.26540814207682,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000092,92,Ballymun Library,,53.389837,-6.264674,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000093,93,Gateway Avenue,,53.392302,-6.264153,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000094,94,Civic Centre,,53.3960347624115,-6.26437695995448,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000102,102,Balbutcher Lane,,53.397773070166,-6.26771985697013,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000104,104,Poppintree Parade,,53.399771,-6.276819,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000105,105,Belclare Park,,53.4029363966818,-6.28169269646949,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000107,107,Crannogue Road,,53.4023798987989,-6.28049690990612,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000110,110,Ard na Meala,,53.3979386409613,-6.26860038147331,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000112,112,Civic Centre,,53.3961544015462,-6.2639510403018,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000113,113,Trinity Comp School,,53.3922679629262,-6.26370325464247,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000114,114,Ballymun Road,,53.3913333220544,-6.26371122925237,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000115,115,Ballymun Rd Ch,,53.3879640919871,-6.26503610048148,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000116,116,Griffith Lawns,,53.377693,-6.259667,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000117,117,Walnut Rise,,53.377366,-6.257546,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000118,118,Clare Road,,53.376643,-6.253592,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000119,119,Whitehall Village,,53.375191,-6.250766,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000126,126,Nursing Home,,53.399096,-6.264087,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000127,127,Nursing Home,,53.3991075304805,-6.26368042823971,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000128,128,Glasnevin Avenue,,53.389268,-6.26569,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000129,129,Glasnevin Drive,,53.38989,-6.271423,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000130,130,Glasnevin Park,,53.390092,-6.274181,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000131,131,Willow Park Road,,53.390386,-6.278349,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000132,132,Beneavin Park,,53.3905207424932,-6.2827191236982,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000134,134,Grove Road,,53.393095,-6.286074,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000136,136,McKee Rd N,,53.39438,-6.289857,,,,,2026-06-26T14:46:10.260735+00:00
8220DB000137,137,McKee Road,,53.392317,-6.292631,,,,,2026-06-26T14:46:10.260735+00:00
